"STATE_NAME","GEOID","event_type","year_numerical","total_event_days","average_impacted_area_hectare","sd_impacted_area_hectare"
"Alabama",1011,"Extreme Heat Event",2011,1,552.1,NA
"Alabama",1011,"Extreme Heat Event",2019,2,70589.5,28122.8
"Alabama",1011,"Extreme Heat Event",2022,1,12996.8,NA
"Alabama",1013,"Extreme Cold Event",2009,3,279355,166.3
"Alabama",1013,"Extreme Cold Event",2010,9,251905.4,82636.7
"Alabama",1013,"Extreme Cold Event",2011,1,213670.1,NA
"Alabama",1013,"Extreme Cold Event",2014,4,257038.1,44825.7
"Alabama",1013,"Extreme Cold Event",2015,3,228860.3,87625.6
"Alabama",1013,"Extreme Cold Event",2017,2,279451,0
"Alabama",1013,"Extreme Cold Event",2018,7,279451,0
"Alabama",1013,"Extreme Cold Event",2020,1,279451,NA
"Alabama",1013,"Extreme Cold Event",2022,3,279451,0
"Alabama",1013,"Extreme Heat Event",2009,6,100345.9,12886.3
"Alabama",1013,"Extreme Heat Event",2010,3,65386.3,20660.7
"Alabama",1013,"Extreme Heat Event",2011,6,128086.2,104259
"Alabama",1013,"Extreme Heat Event",2012,1,47300,NA
"Alabama",1013,"Extreme Heat Event",2014,1,17200,NA
"Alabama",1013,"Extreme Heat Event",2019,2,108107.3,100843.8
"Alabama",1013,"Extreme Heat Event",2021,1,345,NA
"Alabama",1013,"Extreme Heat Event",2022,1,49300,NA
"Alabama",1015,"Extreme Cold Event",2009,5,230090.5,0
"Alabama",1015,"Extreme Cold Event",2010,10,159798.6,94147.7
"Alabama",1015,"Extreme Cold Event",2014,6,199058,76013.7
"Alabama",1015,"Extreme Cold Event",2015,4,173687.4,112806.2
"Alabama",1015,"Extreme Cold Event",2016,1,595.9,NA
"Alabama",1015,"Extreme Cold Event",2017,3,228442.2,2855
"Alabama",1015,"Extreme Cold Event",2018,7,230090.5,0
"Alabama",1015,"Extreme Cold Event",2019,2,4478.1,0
"Alabama",1015,"Extreme Cold Event",2020,4,230090.5,0
"Alabama",1015,"Extreme Cold Event",2022,4,180579.9,99021.3
"Alabama",1015,"Extreme Heat Event",2010,10,12551.9,8111.4
"Alabama",1015,"Extreme Heat Event",2011,7,14584.7,12368.7
"Alabama",1015,"Extreme Heat Event",2015,1,3350,NA
"Alabama",1015,"Extreme Heat Event",2019,5,40851.4,59651.8
"Alabama",1015,"Extreme Heat Event",2020,1,11485.7,NA
"Alabama",1015,"Extreme Heat Event",2021,1,3685.7,NA
"Alabama",1015,"Extreme Heat Event",2022,3,17922.9,14925.8
"Alabama",1017,"Extreme Cold Event",2009,4,222302.5,0
"Alabama",1017,"Extreme Cold Event",2010,12,209006.7,46057.9
"Alabama",1017,"Extreme Cold Event",2012,2,177805.3,62928.5
"Alabama",1017,"Extreme Cold Event",2014,6,165230.9,88415.1
"Alabama",1017,"Extreme Cold Event",2015,4,222302.5,0
"Alabama",1017,"Extreme Cold Event",2016,2,168834.3,0
"Alabama",1017,"Extreme Cold Event",2017,3,94526.9,112552.4
"Alabama",1017,"Extreme Cold Event",2018,8,222181.3,342.8
"Alabama",1017,"Extreme Cold Event",2020,1,222302.5,NA
"Alabama",1017,"Extreme Cold Event",2022,4,182415.2,79774.7
"Alabama",1017,"Extreme Heat Event",2009,5,13185,5208.7
"Alabama",1017,"Extreme Heat Event",2010,8,29500.4,65665
"Alabama",1017,"Extreme Heat Event",2011,7,155833.2,100509.8
"Alabama",1017,"Extreme Heat Event",2012,2,5674.4,2284.7
"Alabama",1017,"Extreme Heat Event",2015,15,24942.3,15429.8
"Alabama",1017,"Extreme Heat Event",2019,4,50249.6,54706.4
"Alabama",1017,"Extreme Heat Event",2022,3,67141.4,6507.6
"Alabama",1019,"Extreme Cold Event",2009,5,180333.1,64615.1
"Alabama",1019,"Extreme Cold Event",2010,10,174476.1,83617.4
"Alabama",1019,"Extreme Cold Event",2014,5,227568.7,0
"Alabama",1019,"Extreme Cold Event",2015,4,176424.5,102288.5
"Alabama",1019,"Extreme Cold Event",2016,1,148263.1,NA
"Alabama",1019,"Extreme Cold Event",2017,2,227568.7,0
"Alabama",1019,"Extreme Cold Event",2018,8,227434.6,379.4
"Alabama",1019,"Extreme Cold Event",2019,2,22991.7,0
"Alabama",1019,"Extreme Cold Event",2020,4,139055.3,59009
"Alabama",1019,"Extreme Cold Event",2022,4,227150.4,836.6
"Alabama",1019,"Extreme Heat Event",2011,1,2193.5,NA
"Alabama",1019,"Extreme Heat Event",2015,2,1253.8,1365.8
"Alabama",1019,"Extreme Heat Event",2017,2,2543.7,882.6
"Alabama",1019,"Extreme Heat Event",2022,12,32277.1,42085.6
"Alabama",1021,"Extreme Cold Event",2009,3,191951.7,114121.7
"Alabama",1021,"Extreme Cold Event",2010,9,226787.4,62112
"Alabama",1021,"Extreme Cold Event",2014,5,240737,38243.3
"Alabama",1021,"Extreme Cold Event",2015,3,257839.9,0
"Alabama",1021,"Extreme Cold Event",2017,2,257839.9,0
"Alabama",1021,"Extreme Cold Event",2018,7,257839.9,0
"Alabama",1021,"Extreme Cold Event",2020,1,257839.9,NA
"Alabama",1021,"Extreme Cold Event",2022,3,257839.9,0
"Alabama",1021,"Extreme Heat Event",2011,1,699.9,NA
"Alabama",1021,"Extreme Heat Event",2017,2,2102.9,1453
"Alabama",1021,"Extreme Heat Event",2022,3,11457.2,9221.6
"Alabama",1023,"Extreme Cold Event",2009,2,332822.5,0
"Alabama",1023,"Extreme Cold Event",2010,10,201845.3,169100.2
"Alabama",1023,"Extreme Cold Event",2011,1,332822.5,NA
"Alabama",1023,"Extreme Cold Event",2014,3,332822.5,0
"Alabama",1023,"Extreme Cold Event",2015,2,332822.5,0
"Alabama",1023,"Extreme Cold Event",2017,2,332822.5,0
"Alabama",1023,"Extreme Cold Event",2018,7,286036.2,123785
"Alabama",1023,"Extreme Cold Event",2020,1,328640.1,NA
"Alabama",1023,"Extreme Cold Event",2021,3,332822.5,0
"Alabama",1023,"Extreme Cold Event",2022,4,332822.5,0
"Alabama",1023,"Extreme Heat Event",2016,2,1697.5,1449.3
"Alabama",1023,"Extreme Heat Event",2021,1,919.1,NA
"Alabama",1023,"Extreme Heat Event",2022,2,15324.1,20915.2
"Alabama",1025,"Extreme Cold Event",2009,3,290875.6,249243.4
"Alabama",1025,"Extreme Cold Event",2010,9,368928.7,140475.4
"Alabama",1025,"Extreme Cold Event",2011,1,434833,NA
"Alabama",1025,"Extreme Cold Event",2014,3,439671.5,8380.6
"Alabama",1025,"Extreme Cold Event",2015,3,300590.5,257656.6
"Alabama",1025,"Extreme Cold Event",2017,2,388522.2,86021.4
"Alabama",1025,"Extreme Cold Event",2018,7,426474.2,42293.5
"Alabama",1025,"Extreme Cold Event",2020,1,449348.6,NA
"Alabama",1025,"Extreme Cold Event",2021,3,136569.3,8401.7
"Alabama",1025,"Extreme Cold Event",2022,4,347290.3,142887.2
"Alabama",1027,"Extreme Cold Event",2009,6,95966.1,101299.6
"Alabama",1027,"Extreme Cold Event",2010,12,146914,99482.7
"Alabama",1027,"Extreme Cold Event",2012,1,173.5,NA
"Alabama",1027,"Extreme Cold Event",2014,6,224670.1,646.6
"Alabama",1027,"Extreme Cold Event",2015,4,174162.4,101824
"Alabama",1027,"Extreme Cold Event",2017,3,225074.4,0
"Alabama",1027,"Extreme Cold Event",2018,8,205183.4,56260.4
"Alabama",1027,"Extreme Cold Event",2020,4,87637.1,91624.9
"Alabama",1027,"Extreme Cold Event",2022,4,185292.3,79564.2
"Alabama",1027,"Extreme Heat Event",2010,2,114.4,0
"Alabama",1027,"Extreme Heat Event",2011,1,1328.2,NA
"Alabama",1027,"Extreme Heat Event",2016,5,4475.7,5876.8
"Alabama",1027,"Extreme Heat Event",2019,1,340,NA
"Alabama",1027,"Extreme Heat Event",2021,1,118.1,NA
"Alabama",1027,"Extreme Heat Event",2022,3,11722.4,19423.2
"Alabama",1029,"Extreme Cold Event",2009,6,152278.2,70547.8
"Alabama",1029,"Extreme Cold Event",2010,10,170588.9,83027
"Alabama",1029,"Extreme Cold Event",2012,1,18539.4,NA
"Alabama",1029,"Extreme Cold Event",2014,6,179946.1,74628
"Alabama",1029,"Extreme Cold Event",2015,4,199173.8,22478
"Alabama",1029,"Extreme Cold Event",2016,3,33669,2088.6
"Alabama",1029,"Extreme Cold Event",2017,3,202227.3,14177.8
"Alabama",1029,"Extreme Cold Event",2018,8,210149.5,740.3
"Alabama",1029,"Extreme Cold Event",2019,2,165456.8,0
